team,season,xG,xGA,xPTS,pts,wins,draws,losses,goals,goals_against,position
real madrid,2022-23,77.15,27.66,80.29,88,29,1,7,87,29,1
barcelona,2022-23,70.52,29.16,79.66,88,29,1,8,67,27,2
atletico madrid,2022-23,69.75,29.36,81.1,86,28,2,7,66,27,3
sevilla,2022-23,81.69,40.94,77.14,84,28,0,10,84,35,4
real sociedad,2022-23,68.4,39.17,63.59,74,24,2,11,60,40,5
villarreal,2022-23,59.65,41.57,65.0,74,24,2,12,61,35,6
athletic club,2022-23,61.53,41.79,57.33,65,21,2,14,70,41,7
valencia,2022-23,70.67,43.37,58.91,64,21,1,16,73,46,8
real betis,2022-23,63.18,50.02,52.46,60,20,0,17,62,43,9
osasuna,2022-23,66.63,52.28,55.7,59,19,2,17,57,58,10
celta vigo,2022-23,47.93,49.34,53.69,56,18,2,17,44,56,11
getafe,2022-23,64.9,55.35,52.65,53,17,2,19,69,47,12
rayo vallecano,2022-23,45.86,56.41,45.88,49,16,1,20,45,49,13
girona,2022-23,56.98,38.52,33.83,41,13,2,23,56,40,14
mallorca,2022-23,47.18,61.89,42.03,46,15,1,21,52,64,15
almeria,2022-23,63.18,59.65,39.78,44,14,2,22,68,62,16
cadiz,2022-23,37.76,63.86,30.59,32,10,2,25,41,66,17
granada,2022-23,50.33,60.79,22.6,28,9,1,28,43,62,18
las palmas,2022-23,48.69,59.14,25.88,32,10,2,25,45,59,19
leganes,2022-23,46.77,62.46,30.98,30,10,0,28,52,66,20
real madrid,2023-24,77.01,37.3,90.98,95,31,2,4,78,39,1
barcelona,2023-24,66.22,32.1,79.36,90,30,0,8,73,32,2
atletico madrid,2023-24,81.99,29.77,75.73,85,28,1,8,91,29,3
sevilla,2023-24,76.27,35.02,80.25,86,28,2,8,67,30,4
real sociedad,2023-24,74.88,39.19,73.69,75,25,0,12,73,36,5
villarreal,2023-24,77.21,48.67,61.21,72,24,0,14,87,52,6
athletic club,2023-24,80.05,46.01,67.99,73,24,1,12,70,40,7
valencia,2023-24,74.65,43.13,57.31,63,21,0,17,83,38,8
real betis,2023-24,52.26,47.95,54.61,65,21,2,14,57,54,9
osasuna,2023-24,51.17,45.3,53.36,60,20,0,18,54,41,10
celta vigo,2023-24,53.57,40.61,45.2,52,17,1,19,47,35,11
getafe,2023-24,55.91,60.45,52.71,56,18,2,18,53,56,12
rayo vallecano,2023-24,51.61,57.71,38.86,49,16,1,20,44,65,13
girona,2023-24,55.78,56.04,39.56,43,14,1,23,63,56,14
mallorca,2023-24,59.33,64.37,37.35,37,12,1,24,66,55,15
almeria,2023-24,59.54,60.17,37.13,38,12,2,24,55,54,16
cadiz,2023-24,30.4,59.7,25.96,31,10,1,26,28,58,17
granada,2023-24,33.41,74.45,21.62,29,9,2,27,36,84,18
las palmas,2023-24,45.36,74.92,18.35,24,8,0,29,44,81,19
leganes,2023-24,39.3,70.34,26.96,30,10,0,28,40,67,20
real madrid,2024-25,80.54,39.36,80.31,88,29,1,7,81,42,1
barcelona,2024-25,75.73,35.15,80.72,87,29,0,9,85,38,2
atletico madrid,2024-25,74.62,26.98,71.91,79,26,1,10,68,28,3
sevilla,2024-25,78.0,29.26,78.53,83,27,2,9,66,29,4
real sociedad,2024-25,80.92,39.38,66.66,73,24,1,12,82,43,5
villarreal,2024-25,77.81,35.98,66.69,75,25,0,13,83,37,6
athletic club,2024-25,61.04,47.61,64.06,70,23,1,13,63,49,7
valencia,2024-25,65.7,40.65,57.05,63,21,0,17,62,40,8
real betis,2024-25,59.75,55.11,63.77,64,21,1,15,65,54,9
osasuna,2024-25,62.36,52.03,53.96,58,19,1,18,61,59,10
celta vigo,2024-25,44.38,50.79,49.89,61,20,1,16,44,50,11
getafe,2024-25,62.5,43.14,54.0,55,18,1,19,56,45,12
rayo vallecano,2024-25,60.78,53.76,46.09,54,18,0,19,55,46,13
girona,2024-25,55.13,53.98,39.02,46,15,1,22,48,47,14
mallorca,2024-25,39.59,57.81,33.53,38,12,2,23,37,50,15
almeria,2024-25,41.52,72.0,36.31,41,13,2,23,46,81,16
cadiz,2024-25,44.07,61.44,27.99,30,10,0,27,50,62,17
granada,2024-25,37.26,64.4,29.87,33,11,0,27,37,68,18
las palmas,2024-25,43.02,62.03,35.79,29,9,2,26,37,61,19
leganes,2024-25,45.66,59.24,25.81,28,9,1,28,48,53,20
