sk_rendimiento,fk_tiempo,fk_temporada,fk_equipo,fk_rival,es_local,goles_favor,goles_contra,tiros,tiros_puerta,corners,faltas,amarillas,rojas,resultado,xg_partido,xga_partido,source_id,load_timestamp
46,23,1,17,4,0,2,2,11,3,6,13,0,0,D,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.595295
47,24,1,4,20,1,3,0,6,2,8,15,3,0,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595356
48,24,1,20,4,0,0,3,11,3,4,14,6,0,D,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.595370
49,25,1,4,2,1,2,1,10,5,4,11,2,0,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595424
50,25,1,2,4,0,1,2,6,5,4,6,1,0,D,1.928157894736842,0.966842105263158,F1_laliga,2026-05-22 10:28:50.595437
51,26,1,4,19,1,0,2,21,3,9,13,2,0,a,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595539
52,26,1,19,4,0,2,0,6,4,4,14,1,0,D,1.6563157894736842,1.1736842105263159,F1_laliga,2026-05-22 10:28:50.595579
53,27,1,4,15,1,2,1,9,5,3,7,3,0,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595653
54,27,1,15,4,0,1,2,8,2,3,9,3,0,D,1.4784210526315789,1.0126315789473683,F1_laliga,2026-05-22 10:28:50.595668
55,28,1,4,13,1,2,2,11,2,2,14,3,0,d,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595725
56,28,1,13,4,0,2,2,9,6,2,13,1,0,D,1.792894736842105,1.1571052631578946,F1_laliga,2026-05-22 10:28:50.595739
57,29,1,4,6,1,4,2,10,3,5,13,3,1,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595795
58,29,1,6,4,0,2,4,3,7,4,14,2,0,D,1.2586842105263158,1.2305263157894737,F1_laliga,2026-05-22 10:28:50.595808
59,30,1,4,7,1,2,2,12,5,6,13,1,0,d,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595863
60,30,1,7,4,0,2,2,9,3,6,12,4,0,D,1.3168421052631578,1.4318421052631578,F1_laliga,2026-05-22 10:28:50.595877
61,31,1,4,14,1,0,0,8,4,4,10,4,0,a,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595930
62,31,1,14,4,0,0,0,16,3,7,9,1,0,D,1.3757894736842105,1.3344736842105263,F1_laliga,2026-05-22 10:28:50.595946
63,32,1,4,8,1,0,2,10,8,4,8,0,0,a,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596000
64,32,1,8,4,0,2,0,9,0,6,13,3,0,D,1.6707894736842106,1.5489473684210526,F1_laliga,2026-05-22 10:28:50.596013
65,33,1,4,12,1,2,2,8,7,7,11,2,0,a,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596068
66,33,1,12,4,0,2,2,11,3,6,18,1,0,D,1.2934210526315788,1.784736842105263,F1_laliga,2026-05-22 10:28:50.596081
67,34,1,4,1,1,3,0,11,5,2,12,4,0,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596134
68,34,1,1,4,0,0,3,13,6,4,10,1,0,D,1.3,1.5910526315789475,F1_laliga,2026-05-22 10:28:50.596147
69,35,1,4,5,1,3,0,14,3,5,10,3,0,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596199
70,35,1,5,4,0,0,3,7,2,2,12,3,0,D,1.4460526315789475,1.5723684210526316,F1_laliga,2026-05-22 10:28:50.596212
71,36,1,4,9,1,2,0,16,7,10,13,2,0,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596264
72,36,1,9,4,0,0,2,12,5,6,11,4,0,D,1.2294736842105263,1.48,F1_laliga,2026-05-22 10:28:50.596284
73,37,1,4,10,1,1,1,19,8,7,10,1,0,a,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596345
74,37,1,10,4,0,1,1,6,6,6,9,2,0,D,1.3068421052631578,1.7763157894736843,F1_laliga,2026-05-22 10:28:50.596358
75,1,1,4,11,1,0,0,15,3,5,10,0,1,d,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596413
76,1,1,11,4,0,0,0,10,3,1,7,1,0,D,0.9410526315789474,1.8444736842105265,F1_laliga,2026-05-22 10:28:50.596426
77,2,1,3,16,1,0,1,18,7,5,10,0,1,a,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.596481
78,2,1,16,3,0,1,0,14,1,7,13,3,0,D,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.596496
79,3,1,3,4,1,1,1,15,3,3,5,2,0,d,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.596549
80,3,1,4,3,0,1,1,10,4,5,14,8,0,D,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.596583
81,4,1,3,18,1,0,2,12,4,5,18,1,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.596660
82,4,1,18,3,0,2,0,13,2,4,12,2,0,D,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.596678
83,5,1,3,17,1,0,1,13,3,3,7,3,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.596757
84,5,1,17,3,0,1,0,7,8,5,13,1,0,D,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.596772
85,6,1,3,20,1,2,2,8,5,6,17,1,0,a,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.596830
86,6,1,20,3,0,2,2,5,3,6,10,5,0,D,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.596843
87,7,1,3,2,1,0,0,20,2,2,8,3,0,d,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.596900
88,7,1,2,3,0,0,0,5,3,4,6,0,0,D,1.928157894736842,0.966842105263158,F1_laliga,2026-05-22 10:28:50.596914
89,8,1,3,19,1,0,2,15,4,5,13,4,0,a,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.596969
90,8,1,19,3,0,2,0,11,6,4,16,1,0,D,1.6563157894736842,1.1736842105263159,F1_laliga,2026-05-22 10:28:50.596983
91,9,1,3,15,1,3,1,13,5,2,13,3,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597037
92,9,1,15,3,0,1,3,9,5,2,16,1,1,D,1.4784210526315789,1.0126315789473683,F1_laliga,2026-05-22 10:28:50.597053
93,10,1,3,13,1,0,2,12,8,3,13,3,0,a,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597134
94,10,1,13,3,0,2,0,9,5,7,9,3,0,D,1.792894736842105,1.1571052631578946,F1_laliga,2026-05-22 10:28:50.597149
95,11,1,3,6,1,3,1,17,4,4,12,1,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597210
96,11,1,6,3,0,1,3,9,1,1,17,1,0,D,1.2586842105263158,1.2305263157894737,F1_laliga,2026-05-22 10:28:50.597224
97,12,1,3,7,1,0,1,11,5,6,17,4,0,a,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597285
98,12,1,7,3,0,1,0,18,4,3,9,3,0,D,1.3168421052631578,1.4318421052631578,F1_laliga,2026-05-22 10:28:50.597299
99,13,1,3,14,1,3,0,11,3,4,11,1,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597429
100,13,1,14,3,0,0,3,10,6,5,11,3,0,D,1.3757894736842105,1.3344736842105263,F1_laliga,2026-05-22 10:28:50.597444
101,14,1,3,8,1,2,0,13,11,5,9,0,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597521
102,14,1,8,3,0,0,2,7,3,3,11,3,0,D,1.6707894736842106,1.5489473684210526,F1_laliga,2026-05-22 10:28:50.597540
103,15,1,3,12,1,4,0,9,8,8,8,1,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597629
104,15,1,12,3,0,0,4,15,1,5,12,1,0,D,1.2934210526315788,1.784736842105263,F1_laliga,2026-05-22 10:28:50.597651
105,16,1,3,1,1,2,1,16,7,2,12,1,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597731
106,16,1,1,3,0,1,2,16,3,4,14,1,0,D,1.3,1.5910526315789475,F1_laliga,2026-05-22 10:28:50.597745
107,17,1,3,5,1,3,3,8,6,5,10,3,0,d,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597806
108,17,1,5,3,0,3,3,13,8,3,10,4,0,D,1.4460526315789475,1.5723684210526316,F1_laliga,2026-05-22 10:28:50.597820
109,18,1,3,9,1,1,1,9,2,2,20,2,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597877
110,18,1,9,3,0,1,1,10,4,6,16,1,0,D,1.2294736842105263,1.48,F1_laliga,2026-05-22 10:28:50.597891
111,19,1,3,10,1,3,1,9,9,5,10,1,0,h,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.597972
112,19,1,10,3,0,1,3,13,8,1,11,3,0,D,1.3068421052631578,1.7763157894736843,F1_laliga,2026-05-22 10:28:50.597989
113,20,1,3,11,1,0,0,15,5,3,11,3,0,d,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.598070
114,20,1,11,3,0,0,0,7,4,4,6,2,0,D,0.9410526315789474,1.8444736842105265,F1_laliga,2026-05-22 10:28:50.598084
115,21,1,18,16,1,0,1,16,5,5,14,2,1,a,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598144
116,21,1,16,18,0,1,0,10,4,4,17,3,0,D,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.598158
117,22,1,18,4,1,0,0,16,3,5,7,0,0,d,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598214
118,22,1,4,18,0,0,0,12,7,5,14,3,0,D,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.598303
119,23,1,18,3,1,0,0,15,1,2,10,5,0,d,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598392
120,23,1,3,18,0,0,0,12,4,6,18,2,0,D,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.598406
121,24,1,18,17,1,2,2,18,5,4,11,2,0,d,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598468
122,24,1,17,18,0,2,2,9,8,5,13,2,1,D,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.598486
123,25,1,18,20,1,2,0,11,7,3,10,3,0,h,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598542
124,25,1,20,18,0,0,2,4,6,6,12,1,0,D,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.598582
125,26,1,18,2,1,1,1,14,0,6,17,4,0,d,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598651
126,26,1,2,18,0,1,1,9,8,9,17,1,0,D,1.928157894736842,0.966842105263158,F1_laliga,2026-05-22 10:28:50.598665
127,27,1,18,19,1,0,0,15,7,3,14,0,0,h,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598750
128,27,1,19,18,0,0,0,13,1,6,12,4,0,D,1.6563157894736842,1.1736842105263159,F1_laliga,2026-05-22 10:28:50.598764
129,28,1,18,15,1,1,1,11,0,2,9,1,0,d,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598826
130,28,1,15,18,0,1,1,15,0,1,8,1,0,D,1.4784210526315789,1.0126315789473683,F1_laliga,2026-05-22 10:28:50.598840
131,29,1,18,13,1,0,3,21,7,3,15,2,0,a,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598897
132,29,1,13,18,0,3,0,12,4,5,14,4,0,D,1.792894736842105,1.1571052631578946,F1_laliga,2026-05-22 10:28:50.598914
133,30,1,18,6,1,2,1,11,6,8,13,2,1,h,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.598978
134,30,1,6,18,0,1,2,7,3,2,9,1,0,D,1.2586842105263158,1.2305263157894737,F1_laliga,2026-05-22 10:28:50.598993
135,31,1,18,7,1,0,2,14,7,6,15,1,0,a,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599085
136,31,1,7,18,0,2,0,12,2,6,9,2,0,D,1.3168421052631578,1.4318421052631578,F1_laliga,2026-05-22 10:28:50.599100
137,32,1,18,14,1,0,1,15,4,7,12,4,0,h,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599174
138,32,1,14,18,0,1,0,11,5,3,11,0,0,D,1.3757894736842105,1.3344736842105263,F1_laliga,2026-05-22 10:28:50.599189
139,33,1,18,8,1,1,0,21,13,8,11,2,0,h,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599278
140,33,1,8,18,0,0,1,10,2,4,9,2,0,D,1.6707894736842106,1.5489473684210526,F1_laliga,2026-05-22 10:28:50.599296
141,34,1,18,12,1,0,1,17,6,4,15,4,0,a,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599363
142,34,1,12,18,0,1,0,7,5,4,6,1,0,D,1.2934210526315788,1.784736842105263,F1_laliga,2026-05-22 10:28:50.599379
143,35,1,18,1,1,2,2,10,5,6,12,1,1,d,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599443
144,35,1,1,18,0,2,2,4,6,3,9,1,0,D,1.3,1.5910526315789475,F1_laliga,2026-05-22 10:28:50.599497
145,36,1,18,5,1,3,3,13,4,4,12,1,0,d,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599599
146,36,1,5,18,0,3,3,9,3,2,10,2,0,D,1.4460526315789475,1.5723684210526316,F1_laliga,2026-05-22 10:28:50.599614
147,37,1,18,9,1,2,0,9,7,3,11,2,0,h,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599681
148,37,1,9,18,0,0,2,11,4,3,8,4,1,D,1.2294736842105263,1.48,F1_laliga,2026-05-22 10:28:50.599702
149,1,1,18,10,1,2,0,14,7,9,11,1,0,h,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599780
150,1,1,10,18,0,0,2,15,4,5,14,0,0,D,1.3068421052631578,1.7763157894736843,F1_laliga,2026-05-22 10:28:50.599795
151,2,1,18,11,1,2,1,6,6,4,17,2,0,a,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.599860
152,2,1,11,18,0,1,2,4,2,9,17,1,0,D,0.9410526315789474,1.8444736842105265,F1_laliga,2026-05-22 10:28:50.599875
153,3,1,17,16,1,0,0,10,4,5,16,1,0,d,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.599932
154,3,1,16,17,0,0,0,11,4,5,14,4,0,D,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.599945
155,4,1,17,4,1,1,0,5,11,4,14,1,1,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600000
156,4,1,4,17,0,0,1,12,5,5,8,3,0,D,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.600013
157,5,1,17,3,1,3,1,11,4,4,8,1,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600094
158,5,1,3,17,0,1,3,9,3,3,12,3,0,D,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.600112
159,6,1,17,18,1,5,0,12,8,3,17,3,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600190
160,6,1,18,17,0,0,5,11,6,5,6,2,0,D,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.600205
161,7,1,17,20,1,0,2,11,7,7,12,2,0,a,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600286
162,7,1,20,17,0,2,0,12,5,6,13,1,1,D,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.600311
163,8,1,17,2,1,4,0,13,7,6,8,0,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600397
164,8,1,2,17,0,0,4,4,2,8,10,1,0,D,1.928157894736842,0.966842105263158,F1_laliga,2026-05-22 10:28:50.600412
165,9,1,17,19,1,1,2,13,5,8,12,3,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600478
166,9,1,19,17,0,2,1,7,6,6,9,4,0,D,1.6563157894736842,1.1736842105263159,F1_laliga,2026-05-22 10:28:50.600492
167,10,1,17,15,1,0,1,15,3,4,14,4,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600549
168,10,1,15,17,0,1,0,8,3,3,11,3,0,D,1.4784210526315789,1.0126315789473683,F1_laliga,2026-05-22 10:28:50.600592
169,11,1,17,13,1,1,3,9,2,0,20,1,0,a,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600662
170,11,1,13,17,0,3,1,15,3,5,17,3,0,D,1.792894736842105,1.1571052631578946,F1_laliga,2026-05-22 10:28:50.600678
171,12,1,17,6,1,0,0,9,7,1,4,1,0,d,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600737
172,12,1,6,17,0,0,0,10,2,6,17,4,0,D,1.2586842105263158,1.2305263157894737,F1_laliga,2026-05-22 10:28:50.600753
173,13,1,17,7,1,2,2,10,6,8,11,2,0,d,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600812
174,13,1,7,17,0,2,2,15,5,4,8,3,0,D,1.3168421052631578,1.4318421052631578,F1_laliga,2026-05-22 10:28:50.600826
175,14,1,17,14,1,2,2,8,5,2,13,3,0,d,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600880
176,14,1,14,17,0,2,2,15,3,2,6,2,0,D,1.3757894736842105,1.3344736842105263,F1_laliga,2026-05-22 10:28:50.600893
177,15,1,17,8,1,2,1,11,6,3,9,3,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.600947
178,15,1,8,17,0,1,2,12,4,5,12,1,0,D,1.6707894736842106,1.5489473684210526,F1_laliga,2026-05-22 10:28:50.600961
179,16,1,17,12,1,3,0,8,7,3,6,1,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.601014
180,16,1,12,17,0,0,3,7,3,5,19,3,0,D,1.2934210526315788,1.784736842105263,F1_laliga,2026-05-22 10:28:50.601028
181,17,1,17,1,1,1,2,10,10,3,7,1,0,a,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.601082
182,17,1,1,17,0,2,1,12,4,4,8,1,0,D,1.3,1.5910526315789475,F1_laliga,2026-05-22 10:28:50.601097
183,18,1,17,5,1,0,2,14,4,3,19,1,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.601151
184,18,1,5,17,0,2,0,8,4,3,13,2,0,D,1.4460526315789475,1.5723684210526316,F1_laliga,2026-05-22 10:28:50.601165
185,19,1,17,9,1,0,0,13,8,2,10,1,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.601217
186,19,1,9,17,0,0,0,13,6,3,9,1,0,D,1.2294736842105263,1.48,F1_laliga,2026-05-22 10:28:50.601231
187,20,1,17,10,1,4,2,10,5,4,10,3,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.601304
188,20,1,10,17,0,2,4,10,7,3,16,4,0,D,1.3068421052631578,1.7763157894736843,F1_laliga,2026-05-22 10:28:50.601327
189,21,1,17,11,1,3,1,13,7,5,14,1,0,h,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.601394
190,21,1,11,17,0,1,3,11,3,5,4,4,0,D,0.9410526315789474,1.8444736842105265,F1_laliga,2026-05-22 10:28:50.601408
191,22,1,20,16,1,4,0,21,7,4,9,2,0,h,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.601463
192,22,1,16,20,0,0,4,14,4,5,8,0,0,D,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.601479
193,23,1,20,4,1,0,1,9,4,7,15,3,0,h,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.601534
194,23,1,4,20,0,1,0,3,2,6,9,1,0,D,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.601574
195,24,1,20,3,1,4,0,19,1,5,18,2,0,h,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.601651
