sk_jugador,player_natural_id,short_name,long_name,player_positions,overall,potential,age,club_name,nationality_name,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic
167,167,player_167,97669c42df405446,GK,58,62,27,valencia,france,11549214,74540,64,84,80,64,54,68
168,168,player_168,bafcbaee3af29e93,CB,80,84,31,valencia,portugal,132298765,741697,84,86,84,67,37,74
169,169,player_169,2abe6d4a0e006ed3,LW,68,68,27,valencia,brazil,31929920,167931,83,58,70,76,37,55
170,170,player_170,574ad454567c4579,CB,93,99,20,valencia,germany,351915345,1955046,72,54,68,60,69,49
171,171,player_171,886e3b461d074c92,CDM,88,93,26,valencia,france,318267590,1252751,60,72,69,65,49,79
172,172,player_172,3dd8ae25ea04e288,ST,72,73,22,valencia,netherlands,60557304,229648,64,72,76,72,69,80
173,173,player_173,579c27d5146042ae,CDM,84,93,33,valencia,spain,271915769,1217941,63,42,72,79,78,47
174,174,player_174,785e86e37df0910b,CB,74,81,33,valencia,argentina,88795986,545909,68,62,61,68,61,81
175,175,player_175,28dd96ea4e495f54,CM,67,68,34,valencia,england,34596730,237733,72,43,89,60,84,60
176,176,player_176,18c77683865f2621,LB,80,85,19,valencia,portugal,211935366,1253300,58,60,40,59,88,56
177,177,player_177,4be162470ed7420b,LW,70,72,34,valencia,france,49925811,183540,92,66,71,60,66,72
178,178,player_178,22709d66ef9fbacd,ST,75,80,32,valencia,germany,109264734,672958,72,65,78,72,38,49
179,179,player_179,1cbf954c54ee4c6a,CDM,69,77,20,valencia,germany,42994126,240698,84,77,85,74,59,58
180,180,player_180,b88a950ae9dcbe4a,ST,78,81,32,valencia,brazil,159504903,997462,64,84,68,86,63,56
181,181,player_181,d4b9bd2e65a12c57,CDM,80,84,32,valencia,germany,188844828,1390355,56,46,77,74,67,59
182,182,player_182,0353251b376cc266,CB,74,81,23,valencia,france,84677203,650311,54,75,75,60,64,86
183,183,player_183,025c066c5bff071c,RB,75,83,20,valencia,argentina,68228249,356565,87,43,84,76,75,66
184,184,player_184,cc0c290823049ab5,CB,78,83,26,valencia,uruguay,136507594,813726,65,66,74,64,63,50
185,185,player_185,450e1f6cfdfbbe62,CB,95,95,32,valencia,netherlands,351915345,1955046,90,59,89,48,67,69
186,186,player_186,f7766ae19256f754,CM,73,82,27,valencia,uruguay,60010114,404154,62,71,69,85,50,40
187,187,player_187,9e7f4109f52fc1c6,CM,77,81,36,valencia,uruguay,122815203,577892,53,91,64,77,89,67
188,188,player_188,ca4043eb8278b37e,RB,64,72,21,valencia,spain,31197569,98113,88,81,89,75,51,69
189,189,player_189,e9364d7f7e208b2a,CDM,83,83,27,valencia,france,252375009,1565372,91,71,69,55,64,92
190,190,player_190,f186fb47d34ee3e4,CB,76,85,29,valencia,portugal,122860440,806188,85,77,78,66,80,61
191,191,player_191,3922457d48f4d8da,CM,74,80,23,real betis,spain,96441136,657516,67,70,70,51,53,75
192,192,player_192,32b1b9fc19752b37,CDM,80,80,32,real betis,uruguay,145460157,1156034,65,48,71,66,81,57
193,193,player_193,c74d4873c3c84d7c,LW,75,79,23,real betis,germany,98649478,786943,78,86,56,60,70,63
194,194,player_194,1bbf957c8f48dbb2,LB,77,82,28,real betis,portugal,142764640,477207,78,62,52,83,79,66
195,195,player_195,f9c04219641d7574,CB,79,83,24,real betis,brazil,171098864,1079706,60,49,60,63,83,70
196,196,player_196,0b41f5d405ef6931,LB,66,67,36,real betis,brazil,34291463,133960,61,63,55,75,77,83
197,197,player_197,e9d1a73318f36bee,CB,76,78,21,real betis,germany,92381741,731469,61,42,72,72,67,51
198,198,player_198,bf37edb541986d8b,ST,70,75,26,real betis,uruguay,35775991,216606,83,45,65,61,83,64
199,199,player_199,d22966e90f82bb8b,CB,73,81,20,real betis,germany,61668860,347542,50,48,69,69,65,66
200,200,player_200,e4b2b30ed5fdade2,CB,82,84,28,real betis,uruguay,187388853,950502,74,35,67,70,74,67
201,201,player_201,b86c5cff6910baa4,ST,69,69,33,real betis,france,48209272,216404,66,99,40,81,70,79
202,202,player_202,146817b95932d0c6,CM,79,85,24,real betis,colombia,132600193,418405,50,57,67,56,57,55
203,203,player_203,47f58b263f4254da,CB,78,81,33,real betis,brazil,146142978,1143299,92,58,65,87,50,58
204,204,player_204,e11e1db3d69327ef,CM,70,78,30,real betis,spain,60599513,236619,82,94,78,38,46,71
205,205,player_205,b17d17703115331f,GK,78,79,28,real betis,uruguay,96914378,494519,91,85,68,55,66,53
206,206,player_206,82c51f9384ba9b24,LB,75,81,20,real betis,spain,105925145,714028,72,63,76,66,43,76
207,207,player_207,e079f3bba7aac9ca,CDM,73,77,35,real betis,portugal,70782878,541302,85,79,67,97,78,95
208,208,player_208,820c388d20eb7d49,CB,76,79,19,real betis,spain,98008913,561666,46,66,90,79,89,82
209,209,player_209,409772d3589fd4bf,GK,77,80,34,real betis,portugal,104455731,750986,68,64,60,69,60,51
210,210,player_210,2e9439ca68b0f663,RB,81,89,26,real betis,france,180328119,1104340,90,62,59,78,60,73
211,211,player_211,6d58ab9aef7a1627,LB,73,74,28,real betis,england,58647749,276832,85,57,53,82,83,55
212,212,player_212,fdc19e0f9d3020b3,CDM,74,75,33,real betis,france,102255045,817347,59,73,76,67,61,60
213,213,player_213,b7a19ea4559def05,RB,73,78,32,real betis,england,85227659,447194,91,54,86,85,53,64
214,214,player_214,b14442d061f6f956,LW,69,70,33,osasuna,netherlands,37287169,207820,79,90,74,50,70,62
215,215,player_215,c24b2bc3dc74b6bb,LW,74,76,32,osasuna,netherlands,71328606,444761,73,73,60,54,77,40
216,216,player_216,ad0760ee18c396bc,CM,74,74,29,osasuna,uruguay,89543878,412559,76,50,74,84,67,70
217,217,player_217,1470ee8526df4ca1,CDM,74,76,33,osasuna,brazil,60925478,211216,66,55,68,71,76,79
218,218,player_218,b3b96eee1ed2204e,CB,74,79,24,osasuna,england,76484522,492551,70,50,72,69,74,76
219,219,player_219,9cddf82b2e8b2670,ST,64,67,26,osasuna,brazil,21063928,88004,49,62,58,66,59,78
220,220,player_220,f8ecad3dd0955081,CB,79,84,25,osasuna,argentina,161391705,1009795,61,62,63,67,63,45
221,221,player_221,73031f7136410a30,ST,65,74,20,osasuna,germany,21981015,135931,61,67,63,80,74,62
222,222,player_222,59392cbf22bf37d5,CM,78,85,18,osasuna,france,130437121,608863,80,69,45,69,59,67
223,223,player_223,d5839d4cc67a72fc,CDM,86,90,19,osasuna,germany,351915345,1644664,51,48,54,69,88,57
224,224,player_224,f877c700a4dcaa73,LW,75,80,30,osasuna,portugal,98920042,596978,86,59,69,86,70,56
225,225,player_225,b9fe015c62ddddef,CDM,79,83,23,osasuna,england,113267626,864293,58,75,62,72,61,84
226,226,player_226,969ce86760651a11,LB,76,76,18,osasuna,netherlands,104377724,822942,74,72,70,53,40,88
227,227,player_227,8145d861f80d2271,RB,74,75,36,osasuna,uruguay,73804095,247877,84,45,81,55,42,74
228,228,player_228,79c8415e79c01fff,CB,68,71,26,osasuna,france,40391131,193093,82,79,76,90,86,81
229,229,player_229,baab61a8a3793de5,CDM,79,84,22,osasuna,germany,142623223,986414,75,47,49,58,73,64
230,230,player_230,84b0726c296a0572,CM,67,75,25,osasuna,brazil,37499187,266475,45,61,84,61,47,68
231,231,player_231,3f80431cecbd2d40,CM,71,71,35,osasuna,brazil,59064526,183726,70,42,72,80,80,83
232,232,player_232,67327211b4d94141,CB,75,75,22,osasuna,france,103778402,508010,84,49,61,64,38,70
233,233,player_233,b0471c469c0d7063,RW,70,71,26,osasuna,colombia,45545572,255000,55,66,86,77,57,46
234,234,player_234,86a2bc499287c4b4,CM,77,78,24,osasuna,brazil,84162654,305254,84,83,99,88,52,81
235,235,player_235,72c863535d001f60,CB,71,78,25,osasuna,colombia,59706855,441148,90,75,61,69,58,65
236,236,player_236,a9374dc41ecc1e80,CB,72,74,30,osasuna,brazil,64466415,467719,60,69,76,88,30,57
237,237,player_237,18615c3e7d82e43d,CM,70,79,17,osasuna,england,54580267,242378,97,98,64,56,71,71
238,238,player_238,d22be24e733c3977,LB,81,90,26,celta vigo,brazil,178618073,1265575,53,96,71,56,62,60
239,239,player_239,46aab1caeedb9c4f,LB,78,86,20,celta vigo,colombia,119357079,713841,58,62,40,79,57,70
240,240,player_240,dfd2ee07a7dd300e,CB,76,82,35,celta vigo,spain,119735865,401521,67,68,65,84,68,73
241,241,player_241,a8910cd68f8ef7c5,CB,72,80,20,celta vigo,netherlands,55705557,172299,68,93,59,50,80,61
242,242,player_242,a5e09ed9b7e181ae,CDM,78,84,30,celta vigo,spain,112726750,526059,83,77,64,53,30,86
